,Team Name,Home,Draw,Away,Result:HT,Result:FT,Result,RedCard?,timestamp,League
,Leyton Orient,3.24,3.29,2.14,0_1,2_3,2,,,England League Cup
,Ipswich,1.5,4.04,5.96,0_0,0_1,2,,,England League Cup
,Exeter,3.28,3.39,2.08,0_0,0_0,3,,,England League Cup
,Scunthorpe,1.72,3.59,4.58,0_0,0_0,3,,,England League Cup
,Mansfield,3.49,3.33,2.03,0_1,1_3,2,,,England League Cup
,Rochdale,2,3.37,3.53,0_1,3_1,1,,,England League Cup
,Brighton,1.41,4.45,6.8,0_0,4_0,1,,,England League Cup
,Oldham,3.49,3.18,2.09,1_1,2_1,1,,,England League Cup
,Wolves,1.38,4.5,7.67,1_1,2_1,1,,,England League Cup
,Peterborough,2.14,3.49,3.07,0_1,3_1,1,,,England League Cup
,Derby,1.35,4.63,8.06,0_0,1_0,1,,,England League Cup
,Blackpool,3.31,3.31,2.1,0_1,2_2,3,,,England League Cup
,Cambridge,3.85,3.33,1.92,0_0,1_1,3,,,England League Cup
,Birmingham,1.88,3.44,3.91,0_0,0_0,3,,,England League Cup
,Shrewsbury,3.71,3.4,1.94,1_1,2_1,1,,,England League Cup
,Southend,2.62,3.25,2.57,1_0,1_3,2,,,England League Cup
,Barnsley,1.87,3.49,3.85,1_0,1_1,3,,,England League Cup
,Coventry,2.56,3.19,2.66,0_1,2_2,3,,,England League Cup
,Preston,1.42,4.26,7.1,0_0,1_0,1,,,England League Cup
,Oldham,3.49,3.18,2.09,1_1,2_1,1,1 Away Red,,England League Cup
,Walsall,1.72,3.43,4.84,0_0,0_0,3,,,England League Cup
,Accrington,3.61,3.19,2.04,0_0,0_0,3,Home Red,,England League Cup
,Real Madrid,1.95,3.38,3.43,1_1,2_2,3,1 Away Red,,Super Cup
,Cadiz CF,1.64,3.63,4.7,2_1,2_2,3,,,Int Club Friendly
,Germany w,1.66,3.72,4.4,1_1,1_2,2,,,Olympic Competition
,Australia Women,1.05,9.74,24.6,3_0,6_1,1,,,Olympic Competition
,Kidderminster,1.63,3.72,4.59,0_1,1_2,2,,,National League North England
,Halifax,1.6,3.72,4.59,1_1,2_2,3,,,National League North England
,Tamworth,1.9,3.39,3.59,0_0,1_0,1,,,National League North England
,Alfreton,1.86,3.3,3.77,3_0,4_0,1,1 Away Red,,National League North England
,UTD of Machester,2.47,3.35,2.52,0_0,0_0,3,,,National League North England
,Harrogate,1.9,3.44,3.54,1_0,2_0,1,,,National League North England
,Stalybridge,2.92,3.18,2.26,0_1,0_3,2,,,National League North England
,Hampton and Richmod,2.27,3.35,2.78,2_1,3_1,1,,,National League South England
,Gosport,3.49,3.49,1.9,1_0,3_1,1,,,National League South England
,Hemel Hempstead,1.49,4.14,5.95,1_1,1_1,3,,,National League South England
,Poole Town,3.57,3.52,1.86,1_0,1_0,1,,,National League South England
,Bath City,2.15,3.33,2.98,0_2,1_2,2,,,National League South England
,Concord,4.79,3.87,1.58,0_1,0_1,2,,,National League South England
,Welling,1.47,4.01,5.84,0_2,1_2,2,,,National League South England
,Hayes and Yeading,2.01,3.81,2.94,1_0,2_0,1,,,Southern Football League
,St Neots Town,2.67,3.65,2.21,3_0,5_2,1,,,Southern Football League
,Weymouth,1.81,3.82,3.51,0_3,1_4,2,,,Southern Football League
,Stratford Town,2.92,3.69,2.05,1_3,2_4,2,,,Southern Football League
,Banbury United,1.81,3.82,3.51,0_0,1_0,1,,,Southern Football League
,Kings Langley,2.31,3.6,2.57,0_1,0_1,2,,,Southern Football League
