,Team Name,Home,Draw,Away,Result:HT,Result:FT,Result,RedCard?,timestamp,League
,Atlantis,10.56,6.18,1.19,0_3,0_6,2,,8/19/16 7:00 PM,Finland Kakkonen Lansi
,FS Metta/LU,6.19,4.07,1.44,0_2,1_3,2,,8/19/16 7:00 PM,Latvia - Virsliga
,Slask Wroclaw,2.2,3.07,3.12,0_0,0_0,3,,8/19/16 7:00 PM,Poland Estraklasa
,Zenit Youth,3.5,3.65,1.85,0_1,0_2,2,,8/19/16 7:00 PM,Russia Youth League
,Obolon ,1.54,3.65,5.65,1_2,3_2,1,,8/19/16 7:00 PM,Ukraine Persha Liga
,Ipswich ,3.23,3.08,2.24,1_1,1_1,3,,8/21/16 2:00 PM,Egland Championship
,CD Munsejero,2.52,2.98,2.72,0_0,1_1,3,,8/21/16 2:00 PM,Spain Secunda B Group II
,Tusker FC,1.85,3.2,4.2,0_0,1_0,1,Home Red,8/21/16 2:00 PM,Kenya Sportpesa Premier League
,Dalian Aerbing,1.6,3.82,4.7,1_1,4_3,1,Away Red,8/21/16 2:00 PM,China First
,Silkerborg,3.31,3.31,2.19,0_2,1_5,2,,8/21/16 2:00 PM,Denmark Superligaen
,BK Avarta,1.91,3.35,3.61,0_0,1_1,3,,8/21/16 2:00 PM,Denmark 2nd Div Pulje I
,Holbaek,2.1,3.58,2.91,0_1,1_2,2,,8/21/16 2:00 PM,Denmark 2nd Div Pulje I
,Ik Skovbakken W,2.84,3.26,1.82,1_0,1_0,1,,8/21/16 2:00 PM,Denmark Elitedvisionen Women
,Nurnberg U19,1.59,4.16,4.32,0_1,0_1,2,,8/21/16 2:00 PM,Germany Amateur A JUN-BL S/S W
,Werder U19,2.22,3.6,2.37,0_1,0_2,2,,8/21/16 2:00 PM,Germany Amateur A JUN-BL N/N E
,Zhetysu,2.89,2.94,2.42,0_0,2_0,1,,8/21/16 2:00 PM,Kazakhstan Premier League Relegations Pool
,FC Gute,1.22,5.7,9.33,3_0,6_1,1,,8/21/16 2:00 PM,Sweden Divison 2 Norra Svealand
,,,,,,,,,,
,Mathare United,1.8,3.2,4.5,2_1,3_1,1,,8/20/16 3:00 PM,Kenya Sportpesa Premier League
,Chemelil,2.3,3.2,2.9,1_0,1_0,1,,8/20/16 3:00 PM,Kenya Sportpesa Premier League
,Bk Manrienlyst,1.63,3.82,4.44,1_1,1_1,3,,8/20/16 3:00 PM,Denmark 2nd Div Pulje II
,AC Oulu,1.49,4.07,5.41,1_0,3_0,1,,8/20/16 3:00 PM,Finland Ykkonen
,Musa Pori,1.75,3.66,3.91,1_0,2_0,1,,8/20/16 3:00 PM,Finland Kakkonen Pohjoinen
,Sudet,2.21,3.75,2.62,3_2,4_2,1,,8/20/16 3:00 PM,Finland Kakkonen ITA
,FC kontu,3.68,3.73,1.79,1_0,1_0,1,,8/20/16 3:00 PM,Finland Kakkonen Lansi
,Wiedenbruck,3.02,3.28,2.15,0_0,0_0,3,,8/20/16 3:00 PM,Germany Amateur Regionalliga West
,TSG Sprockhovel,9.29,5.06,1.26,0_3,0_4,2,,8/20/16 3:00 PM,Germany Amateur Regionalliga West
,Wuppertal,1.75,3.66,3.91,1_0,4_0,1,,8/20/16 3:00 PM,Germany Amateur Regionalliga West
,Oberhausen ,1.89,3.33,3.69,0_0,1_1,3,,8/20/16 3:00 PM,Germany Amateur Rwgionalliga West
,Bonner,2.78,3.24,2.32,1_0,1_0,1,,8/20/16 3:00 PM,Germany Amateur REgionalliga West
,Borrussia M'Gladbach,1.43,4.34,5.87,0_1,1_1,3,,8/20/16 3:00 PM,Germany Amateur Regionalliga West
,Koblenz,2.15,3.17,3.12,0_0,1_0,1,,8/20/16 3:00 PM,Germany Amateur Regionalliga SouthWest
,Elversberg,1.95,3.38,3.43,0_0,1_0,1,,8/20/16 3:00 PM,Germany Amateur Regionalliga SouthWest
,Augsburg,1.74,3.75,3.85,0_0,1_1,3,Home Red,8/20/16 3:00 PM,Germany Amateur Regionalliga Bavaria
,Nurnberg II,2.25,3.22,2.91,0_0,1_2,2,,8/20/16 3:00 PM,Germany Amateur Regionalliga Bavaria
,Bayreuth,3.79,3.59,1.79,1_0,1_3,2,,8/20/16 3:00 PM,Germany Amateur Regionalliga Bavaria
,Schweinfurt,1.5,3.92,5.67,0_0,2_0,1,,8/20/16 3:00 PM,Germany Amateur Regionalliga Bavaria
,RB Leipzig U19,1.39,4.47,4.82,2_0,4_1,1,,8/20/16 3:00 PM,Germany Amateur A JUN-BL N/N E
,Sk Lisen,1.84,3.53,3.64,0_1,0_3,2,,8/20/16 5:30 PM,Czech Republic MSFL
,Blansko,2.88,3.6,2.11,0_1,0_1,2,,8/20/16 5:30 PM,Czech Republic MSFL
,Vyskov,1.68,3.72,4.23,1_0,2_0,1,,8/20/16 5:30 PM,Czech Republic MSFL
,Hlucin,1.35,5.2,5.98,0_0,0_0,3,,8/20/16 5:30 PM,Czech Republic MSFL
,Sk Spartak Hulin,1.43,4.49,5.62,0_0,0_1,2,,8/20/16 5:30 PM,Czech Republic MSFL
,Odense Q W,10.74,5.37,1.07,,0_2,2,,8/20/16 5:30 PM,Denmark Elitedvisionen Women
,Uraedd W,17.45,12.83,1.04,0_1,0_5,2,,8/20/16 5:30 PM,"Norway Toppserien, Women"
,Svaty Jur,2.91,3.73,2.05,0_0,0_0,3,,8/20/16 5:30 PM,Slovakia 2 Liga Group West
,FC Stk 1914 Samorin,1.55,4.23,4.59,2_0,4_1,1,,8/20/16 5:30 PM,Slovakia 2 Liga Group West
,Partizan Bardejov,1.22,6.38,7.91,1_0,2_0,1,Away Red,8/20/16 5:30 PM,Slovakia 2 Liga Group East
,Lokomotiva Zvolen,1.35,4.84,6.5,3_0,4_1,1,,8/20/16 5:30 PM,Slovakia 2 Liga Group East
,Mykolaiv,2.25,3.02,3.07,0_0,2_1,1,,8/20/16 5:30 PM,Ukraine Persha Liga
,Heracles,4.14,3.77,1.81,0_1,0_1,2,,8/21/16 5:45 PM,Netherlands Eredivisie
,Cardoba,2.19,2.97,3.49,1_0,1_0,1,,8/20/16 10:00 PM,Spain Secunda Division
,San Fernando,2.15,3.02,3.28,0_0,0_2,2,,8/20/16 10:00 PM,Spain Segunda B group IV
,FC Cartegena,1.74,3.28,4.51,0_0,2_0,1,,8/20/16 10:00 PM,Spain Segunda B group IV
,Zeljeznicar,2.42,3.14,2.72,0_0,0_1,2,Home Red,8/20/16 10:00 PM,Bosnia & Herzegovina Premijer
,CRB Al,1.7,3.4,4.59,0_0,0_1,2,Home Red,8/20/16 10:00 PM,Brazil Serie B
,Nautico PE,1.81,3.36,3.99,0_1,0_1,2,,8/20/16 10:00 PM,Brazil Serie B
,River Pl,3.39,2.93,2.16,2_1,2_2,3,Home Red,8/20/16 10:00 PM,Brazil Serie C Gr A
,Union La Calera,2.57,3.19,2.52,1_0,2_0,1,,8/20/16 10:00 PM,"Chile Primera b, Apertura"
,Nk Slaven Belupo,2.27,2.99,3.09,1_0,2_3,2,,8/20/16 10:00 PM,Croatia 1. HNL
,Fernando Mora,2.22,2.94,3.25,1_0,2_0,1,Away Red,8/20/16 10:00 PM,Paraguay Segunda Division
,Aragua,1.39,3.97,7.73,0_1,1_1,3,,8/20/16 10:00 PM,Venzuela Primera Division Clausura
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,Canberra Olympic,1.49,4.76,4.61,1_1,3_1,1,,8/20/16 8:00 AM,Australia NPL Capital Football
,Mallorca B,2.79,3.04,2.42,0_1,0_1,2,,8/21/16 12:00 PM,Spain Segunda B group III
,San Sebastian Reyes,2.41,2.97,2.87,1_0,2_1,1,,8/21/16 1:00 PM,Spain Segunda B group II
,Machida Zelvia,1.94,3.16,3.73,0_0,0_0,3,,8/21/16 1:00 PM,Japan J.League 2
,Kyoto sanga,2.72,2.92,2.56,0_0,0_0,3,,8/21/16 1:00 PM,Japan J.League 2
,Renofa,2.83,3.19,2.31,0_0,0_0,3,,8/21/16 1:00 PM,Japan J.League 2
,Roasso Kumamoto,2.21,2.99,3.19,0_4,1_6,2,,8/21/16 1:00 PM,Japan J.League 2
,Sibir Novosibirsk,2.52,2.98,2.72,1_1,1_1,3,,8/21/16 1:00 PM,Russia 1 St Division
,Spartak M Youth,1.34,4.85,6.71,1_0,2_0,1,Away Red,8/21/16 1:00 PM,Russia Youth League
,Gwangju,1.95,3.28,3.54,0_0,0_0,3,,8/21/16 1:00 PM,South Korea K-League Classic
,Daegu,2.32,3.1,2.89,0_0,0_1,2,,8/21/16 1:00 PM,South Korea K-League Challenge
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,Sunderland,2.66,3.03,2.82,0_2,1_2,2,,8/21/16 3:30 PM,England Premier League
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,FC Cartagena,2.06,3.36,3.15,0_0,2_0,1,,12/30/99 8:00 PM,Int Club Friendly
,Atromitos Athens,2.55,3.16,2.55,0_2,1_2,2,,12/30/99 9:00 PM,Int Club Friendly
,Esteghlal,2.16,2.88,3.45,1_1,2_2,3,,12/30/99 7:00 PM,Iran Pro League
